id,type,prompt,answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,文本生成,写一些 VR 和健身结合的方案,"虚拟现实（VR）技术在健身领域的应用日益普及，以下是一些建议将 VR 与健身结合的方案：
VR 健身游戏
开发一款寓教于乐的 VR 健身游戏，使用户在游戏过程中完成各种锻炼动作，例如跑步、蹲跳、平板支撑等。游戏可设立挑战任务和奖励系统，鼓励用户坚持锻炼，提高锻炼的趣味性。
VR 健身课程
利用 VR 技术开发各种健身课程，如瑜伽、普拉提、有氧运动等。用户可以在家中参加虚拟课堂，根据虚拟教练的指导进行锻炼。此外，可以为用户提供个性化的课程推荐和进度跟踪。
VR 跑步
为跑步爱好者提供沉浸式的 VR 跑步体验，用户可以在虚拟环境中欣赏各种风景，例如山地、海滩、森林等。同时，可通过 GPS 数据记录用户的跑步轨迹、距离和速度等信息。
VR 竞技运动
创建虚拟体育馆，让用户参与各种竞技运动，如篮球、足球、羽毛球等。用户可以与其他在线玩家进行比赛，提高运动技能，同时增加社交互动。VR 健身战队
设立一个虚拟健身社区，鼓励用户组建战队，与其他战队进行健身挑战赛。通过排行榜、勋章等元素，增强用户的归属感和成就感，进一步提高锻炼积极性。
VR 舞蹈课程
开发多种舞蹈课程，如街舞、爵士舞、拉丁舞等，让用户在虚拟环境中学习舞蹈动作。可设置多人舞蹈模式，让用户与其他在线玩家共同跳舞，增强社交体验。
VR 健身数据追踪与分析
通过连接智能设备（如心率监测器、运动手环等），实时收集用户的健身数据。通过分析用户的运动表现、锻炼效果等，为用户提供个性化的健身建议和目标设定。
通过将 VR 技术与健身相结合，可以提高锻炼",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,文本生成,"根据描述帮我起个产品名字吧
产品描述：家用搅拌机
关键词：快速、健康、小巧","产品名：健康快速搅拌机 ""健速宝""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,文本生成,"假设你是 Marv，总是不情愿地用讽刺语气回答问题，例如一公斤是多少磅？Marv：又是这个？一公斤有 2.2 磅。
HTML 是什么？",Marv：哦，天哪！这又是一个无聊的问题。好吧，我来告诉你吧，HTML 是超文本标记语言（Hypertext Markup Language）的缩写，它是用来构建网页和展示网页内容的一种编程语言。现在你知道了，别再问这个问题了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,语义理解,如果那个骗子成功地骗过了山姆，他就会得到一大笔钱。谁会得到那么多钱？,骗子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,语义理解,如果那个骗子成功地骗过了山姆，他就会损失一大笔钱。谁会损失那么多钱？,山姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,语义理解,律师问了证人一个问题，但他不愿回答。谁不愿意回答这个问题？,证人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,语义理解,律师问了证人一个问题，但他不愿意重复。谁不愿意重复这个问题？,律师,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,语义理解,墙上有一个缺口。你可以透过它看到花园。你能透过什么看到花园？,缺口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,语义理解,墙上有一个缺口。你可以看到它后面的花园。你能看到什么后面的花园？,墙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,语义理解,每个人都很喜欢燕麦饼干，只有少数人喜欢巧克力饼干。下次，我们应该多做点。下次我们应该多做哪种饼干呢?,燕麦饼干,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,语义理解,每个人都很喜欢燕麦饼干，只有少数人喜欢巧克力饼干。下次，我们应该少做点。下次我们应该少做哪种饼干？,巧克力饼干,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,语义理解,我把一根大头针插进了胡萝卜。当我把大头针拔出来的时候，它留下了一个洞。什么留下了一个洞？,胡萝卜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,语义理解,我把一根大头针插进了胡萝卜。当我把大头针拔出来的时候，它离开一个洞。什么离开了一个洞？,大头针,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,语义理解,我把布铺在桌子上是为了保护它.保护什么？,桌子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,语义理解,我把布铺在桌子上是为了展示它.展示什么？,布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,指令理解:分类,"给定一组文本，将文本分成正面和负面情感。
举例文本:
这部电影非常出色，值得推荐。我觉得导演做得很好。
这场音乐会真是个灾难，我非常失望。","好的，以下是将文本分为正面和负面情感的结果：

正面情感文本：这部电影非常出色，值得推荐。我觉得导演做得很好。

负面情感文本：这场音乐会真是个灾难，我非常失望。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,指令理解:分类,"将以下10个单词分类为动物或植物。
树木、狮子、玫瑰、草地、松鼠、猴子、蘑菇、兔子、山羊、香蕉","动物类别：树木、狮子、松鼠、猴子、兔子
植物类别：玫瑰、草地、蘑菇、香蕉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,指令理解:分类,将以下电子产品分类为手机、平板电脑或笔记本电脑：iPhone、iPad、MacBook Pro、Surface Pro、Samsung Galaxy Tab S7。,"好的，以下是这些电子产品按照手机、平板电脑和笔记本电脑分类的结果：
手机：iPhone
平板电脑：iPad、Samsung Galaxy Tab S7
笔记本电脑：MacBook Pro、Surface Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,指令理解:分类,"分类以下句子为肯定、否定或中性情感。 句子：'这部电影很好看。', '我不喜欢这首歌。', '这家餐厅的菜很普通。'","句子：'这部电影很好看。' 是肯定情感。

句子：'我不喜欢这首歌。' 是否定情感。

句子：'这家餐厅的菜很普通。' 是中性情感。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,指令理解：信息提取,"明天有雨吗？
这周六北京会不会下雪？
后天去上海要穿多少合适？
想问下后天去哈尔滨需要穿羽绒服吗？
现在出门要带伞吗？
提取出上述文本中的所有时间实体",明天、这周六、后天、后天、现在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,指令理解：信息提取,"帮我把厕所的灯打开。
关闭全屋灯光。
帮我把空调打开。
空调温度调节到24℃。
帮我把电视打开。
电视关了吧。
提取出以上信息中的所有电器设备实体",灯、空调、电视,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,指令理解：信息提取,"帮我把电视打开。
加湿器关了吧。
根据上述信息，分别提取出电视、加湿器的开关状态","电视：打开 
加湿器：关闭",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,指令理解：表格数据处理,"给出下面的数据表，回答以下问题：
有多少种颜色？重量最重/轻的物品是什么？
物品编号 | 颜色 | 重量
001 | 红 | 10kg
002 | 蓝 | 8.5kg
003 | 黑 | 12.2kg
004 | 绿 | 4.8kg
005 | 黄 | 6.1kg
006 | 白 | 9.9kg","根据所提供的数据表，回答以下问题：
1. 有多少种颜色？
根据给出的数据表，有6种不同的颜色，它们是红、蓝、黑、绿、黄和白。
2. 重量最重/轻的物品是什么？
根据给出的数据表，最重的物品编号是003，它的重量为12.2kg；最轻的物品编号是004，它的重量为4.8kg。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,指令理解：表格数据处理,"基于以下表格，请问张三的考勤情况
员工姓名,日期,上班时间,下班时间,是否迟到,是否早退,是否请假
张三,1月1日,8:30,17:30,否,否,否
李四,1月1日,9:00,18:00,是,否,否
王五,1月1日,8:00,16:30,否,是,否
赵六,1月1日,8:30,17:00,否,否,是
张三,1月2日,8:00,17:00,否,否,否
李四,1月2日,8:30,17:30,否,否,否
王五,1月2日,9:00,18:00,是,否,否
赵六,1月2日,8:30,17:00,否,否,是","张三的考勤情况如下：
1月1日：上班时间8:30，下班时间17:30，未迟到、未早退、未请假。
1月2日：上班时间8:00，下班时间17:00，未迟到、未早退、未请假。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,指令理解：表格数据处理,"姓名,年龄,性别,国籍,身高(cm),体重(kg),学历
张三,28,男,中国,180,70,本科
Lisa,33,女,美国,165,58,硕士
Paulo,41,男,巴西,175,80,博士
Miyuki,25,女,日本,160,50,大专
Ahmed,30,男,埃及,175,68,本科
Maria,29,女,墨西哥,170,65,硕士
Antonio,36,男,西班牙,182,75,博士
基于这个表格回答：学历最低的是哪国人？",根据给定的表格，学历最低的人是Miyuki，她的国籍是日本。她的学历是大专，而其他人的学历都是本科及以上学位。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,指令理解：表格数据处理,"姓名,年龄,性别,职业,教育程度,婚姻状况,所在城市
张三,25,男,软件工程师,本科,未婚,北京
李四,36,女,医生,博士,已婚,上海
王五,42,男,律师,硕士,已婚,广州
赵六,28,女,市场营销经理,本科,未婚,深圳
刘七,31,男,金融投资顾问,硕士,已婚,杭州
孙八,29,女,设计师,本科,已婚,成都
钱九,27,男,职业选手,高中,未婚,武汉
基于以上表格，其中未婚的有几人？","根据给定的表格，未婚的人有两人。他们是：
1. 张三
2. 赵六",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,指令理解：表格数据处理,"2023-04-10 08:20:11 [INFO] 用户ID: 102938, 请求打车服务, 起点: 莲花山公园, 终点: 明珠商务广场
2023-04-10 08:20:15 [DEBUG] 用户ID: 102938, 派单成功, 车辆ID: A12345, 司机姓名: 张三
2023-04-10 08:25:20 [INFO] 用户ID: 102938, 上车, 车辆ID: A12345, 司机姓名: 张三
2023-04-10 08:55:32 [INFO] 用户ID: 102938, 下车, 车辆ID: A12345, 司机姓名: 张三, 行程金额: 85.5元
2023-04-10 08:55:35 [DEBUG] 用户ID: 102938, 支付成功, 金额: 85.5元
2023-04-11 13:10:45 [INFO] 用户ID: 102938, 请求打车服务, 起点: 世纪大道地铁站, 终点: 欢乐谷
2023-04-11 13:10:49 [DEBUG] 用户ID: 102938, 派单成功, 车辆ID: B23456, 司机姓名: 李四
2023-04-11 13:15:01 [INFO] 用户ID: 102938, 上车, 车辆ID: B23456, 司机姓名: 李四
2023-04-11 13:50:20 [INFO] 用户ID: 102938, 下车, 车辆ID: B23456, 司机姓名: 李四, 行程金额: 120.0元
2023-04-11 13:50:24 [DEBUG] 用户ID: 102938, 支付成功, 金额: 120.0元
基于以上日志信息回答：司机张三和李四的车辆ID分别是多少？",根据以上日志信息，司机张三的车辆ID是A12345，司机李四的车辆ID是B23456。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,指令理解：阅读理解,请从以下文本中提取出列车编号、出发站点、到达站点、出发时间和到达时间。编号为K8732的列车是一趟从南方到北方的长途列车。它将从广州南站出发，穿过中国南部的美丽风景线路，一路向北行驶。旅客可以欣赏到壮丽的山脉和沿途的风景。列车计划在4月20日早上6点30分准时从广州南站出发，全程预计需要经过多个站点，其中包括长沙、武汉、郑州和石家庄等城市。经过长途的行驶后，列车预计将于4月21日下午3点15分准时到达北京西站。在整个旅途中，旅客可以在列车上享受舒适的座位和设施，例如空调、餐车、卫生间和WiFi等服务，以保证旅途的舒适和愉悦。无论是商务出行还是度假旅游，这趟列车都是一种安全、快捷和舒适的出行选择。,"列车编号：K8732
出发站点：广州南站
到达站点：北京西站
出发时间：4月20日早上6点30分
到达时间：4月21日下午3点15分",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,指令理解：阅读理解,从以下文本中抽取有关天气的信息：据当地气象部门的最新数据显示，北京时间X月X日稍晚，哈尔滨市将迎来一次大风天气，这也引起了市民们的关注。根据气象部门发布的消息，该市区将有6级到7级的大风，伴随着扬沙或浮尘天气。这种情况下，人们应当注意防范大风带来的不利影响，如出行时应注意防范被飞沙或飞尘的侵袭，同时也要注意防范树枝、广告牌等高空物品被大风吹倒的可能性。为了保障市民的安全，当地政府已经启动了相关的应急预案，并呼吁市民们要密切关注气象部门发布的天气预警信息，及时做好防风、防沙措施，减少不必要的出行，确保自己和家人的生命安全。同时，政府也在加强城市环境卫生工作，确保城市内的道路、广场等公共场所能够及时清理，保持干净整洁的环境。相信在政府和市民共同的努力下，这场大风天气也不会对当地的正常生活和工作造成太大的影响。,"有关天气的信息：
大风天气
时间：X月X日稍晚
风力：6级到7级
大风伴随扬沙或浮尘天气
提醒人们注意防范大风带来的不利影响
呼吁市民密切关注气象部门发布的天气预警信息
加强城市环境卫生工作，确保城市内的道路、广场等公共场所能够及时清理，保持干净整洁的环境。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,指令理解：阅读理解,请从以下文本中抽取出物体属性：这款手表是一款非常轻巧的设计，戴起来几乎没有重量感，完全不会让人感到压迫或不适。同时，这款手表的绑带也非常容易调节，可以轻松适应不同大小的手腕，让你无需担心戴上去后过紧或过松的问题。除了这些舒适的特性，这款手表还具有许多其他的优点。它的表盘采用了最新的技术，可以清晰地显示时间、日期和其他的相关信息，而且还配备了多种功能，例如闹钟、秒表、计时器等，非常实用。另外，这款手表的设计也非常时尚，它的造型简约而不失优雅，无论是搭配休闲装还是正式服装都非常适合。无论是运动爱好者还是商务人士，这款手表都是一个绝佳的选择。它的轻巧和舒适性能够让你在各种场合轻松佩戴，同时其多种功能和时尚的设计也能满足你的各种需求。所以，如果你正在寻找一款高性能、时尚的手表，这款手表绝对是一个不错的选择。,"物体属性：
轻巧
舒适
绑带易调节
可适应不同大小的手腕
表盘清晰
可显示时间、日期和其他相关信息
配备多种功能（例如闹钟、秒表、计时器等）
时尚的设计
简约而不失优雅",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,指令理解：阅读理解,"请你从下面的文段中提取出所有的数字，并按照从小到大的顺序排列。
据数据显示，这座海拔超过8800米的山峰，被世人称为珠穆朗玛峰。这座位于尼泊尔与中国的边界上的山峰，不仅仅是全球海拔最高的山峰，也是世界上最难攀登的山峰之一。据统计，珠穆朗玛峰登顶成功率仅为30%左右，而每年尝试登顶的人数却高达数千人。为了攀登珠穆朗玛峰，登山者需要经历非常困难的登山路线。其中最著名的是从南坡进入珠峰大本营，全长约70公里。这条路线最大的难点是海拔高度，其中包括一段被称为“死亡地带”的路段，海拔高度超过8000米，氧气含量只有海平面的三分之一，非常危险。据悉，每年尝试登顶珠穆朗玛峰的人数高达5000人左右，其中有不少登山者因氧气不足、体力不支、天气突变等原因而死亡。除了高海拔，珠穆朗玛峰还有其他令人震惊的数字。比如，它的顶峰被冰雪覆盖的面积高达29000平方公里，约等于比利时的总面积；珠穆朗玛峰山脚下的人口密度非常低，尼泊尔境内海拔超过3000米的地区人口仅有不到50万人，而中国境内的藏区更是人迹罕至，仅有极少数的牧民在此生活。总的来说，珠穆朗玛峰是一个神秘而又充满挑战的地方，其海拔高度和自然景观吸引着众多冒险家和探险者前来挑战。然而，登顶珠穆朗玛峰的道路危机重重，需要极高的体力、勇气和耐心，才能够攀登成功。","按照从小到大的顺序排列：3, 70, 3000, 5000, 30, 8000, 8800, 29000, 50,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,指令理解：分类,"对给出的文本进行分类：是新闻报道、论文摘要还是小说章节：
昨天，巨人小队在比赛中取得了胜利。这是巨人小队在本赛季主场的第三场比赛，也是他们取得的第三连胜。巨人小队在比赛中表现出色，运动员们充满斗志地奋战，最终赢得了比赛的胜利。他们的球迷也为他们加油助威，现场气氛非常热烈。这场胜利对于巨人小队来说非常重要，它将激励他们在接下来的比赛中继续保持良好的状态，争取更多的胜利。",根据这段文本的特点，我认为它应该是新闻报道类型的文本。这段文本的风格比较客观，用词较为简洁明了，主要介绍了巨人小队在比赛中取得的胜利以及一些相关的情况，类似于新闻报道的风格。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,指令理解：分类,"分类以下句子为肯定、否定或中性情感。 句子：'这部电影很好看。', '我不喜欢这首歌。', '这家餐厅的菜很普通。'","好的，以下是将这些句子分类为肯定、否定或中性情感的结果：
肯定情感：这部电影很好看。
否定情感：我不喜欢这首歌。
中性情感：这家餐厅的菜很普通。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,指令理解：分类,"对以下一组商品评论进行情感分类，正面/中立/负面：
1）价格比其他商家便宜，但质量有点差；2）外观漂亮，但功能不如预期的好；3）使用了几次，感觉很满意。","好的，以下是将这些商品评论进行情感分类的结果：
负面情感：价格比其他商家便宜，但质量有点差；
中立情感：外观漂亮，但功能不如预期的好；
正面情感：使用了几次，感觉很满意。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,指令理解：分类,"针对给定的产品列表，基于其描述将它们分类为家具，电子产品或服装。
1. 大号沙发，布面料，双人座位；2. 电视机，尺寸：55英寸，4K超高清分辨率；3. 黑色晚礼服，适合晚宴或场合穿着。","好的，以下是将这些产品基于其描述分类为家具、电子产品或服装的结果：
家具：大号沙发，布面料，双人座位；
电子产品：电视机，尺寸：55英寸，4K超高清分辨率；
服装：黑色晚礼服，适合晚宴或场合穿着。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
